species,inducer
Coprobacter_Unclassified,0
Escherichia coli,0
Lachnospiraceae NK4A136 group_uncultured organism,0
Lactobacillus salivarius,0
NK4A214 group_Unclassified,0
Negativibacillus_uncultured bacterium,0
Streptococcus gallolyticus subsp. pasteurianus,0
Turicibacter sp. H121,0
Vibrionimonas_Unclassified,0
[Eubacterium] xylanophilum group_uncultured bacterium,0
Bacteroides eggerthii,1
Intestinibacter bartlettii DSM 16795,1
Stenotrophobacter_uncultured Acidobacteria bacterium,1
[Eubacterium] hallii group_uncultured bacterium,1
